#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Atf2	Brca1	10090.ENSMUSP00000107641	10090.ENSMUSP00000017290	0	0.454	0.634	0	0.791
Atf2	Pou5f1	10090.ENSMUSP00000107641	10090.ENSMUSP00000025271	0	0.443	0.188	0	0.528
Atf2	Egr1	10090.ENSMUSP00000107641	10090.ENSMUSP00000069616	0	0.443	0.130	0	0.494
Atf2	Kat2a	10090.ENSMUSP00000107641	10090.ENSMUSP00000099407	0	0.046	0.478	0	0.480
Brca1	Stat5a	10090.ENSMUSP00000017290	10090.ENSMUSP00000004145	0	0.227	0	0.714	0.769
Brca1	Nanog	10090.ENSMUSP00000017290	10090.ENSMUSP00000012540	0	0.433	0	0	0.433
Brca1	Nfya	10090.ENSMUSP00000017290	10090.ENSMUSP00000043909	0	0.130	0	0.509	0.554
Brca1	Hdac2	10090.ENSMUSP00000017290	10090.ENSMUSP00000019911	0	0.272	0	0.838	0.877
Brca1	Myc	10090.ENSMUSP00000017290	10090.ENSMUSP00000022971	0	0.230	0	0.870	0.896
Brd4	Myc	10090.ENSMUSP00000113070	10090.ENSMUSP00000022971	0	0.230	0.170	0.398	0.581
Brd4	Pou5f1	10090.ENSMUSP00000113070	10090.ENSMUSP00000025271	0	0.437	0	0.478	0.693
Brd4	Taf7	10090.ENSMUSP00000113070	10090.ENSMUSP00000065645	0	0.295	0	0.412	0.568
Brd4	Taf1	10090.ENSMUSP00000113070	10090.ENSMUSP00000098895	0	0.289	0.255	0.250	0.568
Brd4	E2f1	10090.ENSMUSP00000113070	10090.ENSMUSP00000099434	0	0.643	0.163	0.314	0.777
Brd4	Tbp	10090.ENSMUSP00000113070	10090.ENSMUSP00000124317	0	0.248	0	0.287	0.440
E2f1	Spi1	10090.ENSMUSP00000099434	10090.ENSMUSP00000002180	0	0.048	0.634	0.097	0.657
E2f1	E2f4	10090.ENSMUSP00000099434	10090.ENSMUSP00000015003	0	0.131	0.395	0.147	0.512
E2f1	Hdac2	10090.ENSMUSP00000099434	10090.ENSMUSP00000019911	0	0.065	0.512	0.105	0.555
E2f1	E2f6	10090.ENSMUSP00000099434	10090.ENSMUSP00000020908	0	0	0	0.464	0.463
E2f1	Kat2a	10090.ENSMUSP00000099434	10090.ENSMUSP00000099407	0	0.521	0.515	0.440	0.858
