#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0045944	Positive regulation of transcription by rna polymerase ii	46	1239	1.16	1.76e-43	10090.ENSMUSP00000000080,10090.ENSMUSP00000000450,10090.ENSMUSP00000003135,10090.ENSMUSP00000005279,10090.ENSMUSP00000005841,10090.ENSMUSP00000008542,10090.ENSMUSP00000012540,10090.ENSMUSP00000015003,10090.ENSMUSP00000015197,10090.ENSMUSP00000020158,10090.ENSMUSP00000023673,10090.ENSMUSP00000025867,10090.ENSMUSP00000027941,10090.ENSMUSP00000030391,10090.ENSMUSP00000034707,10090.ENSMUSP00000034973,10090.ENSMUSP00000035020,10090.ENSMUSP00000041118,10090.ENSMUSP00000041774,10090.ENSMUSP00000048838,10090.ENSMUSP00000053178,10090.ENSMUSP00000062576,10090.ENSMUSP00000064366,10090.ENSMUSP00000066256,10090.ENSMUSP00000066789,10090.ENSMUSP00000069616,10090.ENSMUSP00000069850,10090.ENSMUSP00000072617,10090.ENSMUSP00000074656,10090.ENSMUSP00000088717,10090.ENSMUSP00000092901,10090.ENSMUSP00000096129,10090.ENSMUSP00000096755,10090.ENSMUSP00000099407,10090.ENSMUSP00000099434,10090.ENSMUSP00000100041,10090.ENSMUSP00000100979,10090.ENSMUSP00000102711,10090.ENSMUSP00000103245,10090.ENSMUSP00000103905,10090.ENSMUSP00000104732,10090.ENSMUSP00000107677,10090.ENSMUSP00000109202,10090.ENSMUSP00000110965,10090.ENSMUSP00000124863,10090.ENSMUSP00000130115	Klf6,Pparg,Elf3,Klf5,Ctcf,Elk3,Nanog,E2f4,Gata2,Myb,Runx1,Rela,Atf3,Tfap2c,Smarca4,Smad3,Eomes,Foxa1,Gata6,Rarg,Tcf21,Nucks1,Klf1,Ercc6,Ep300,Egr1,Cebpb,Hsf1,Clock,Sry,Jund,Cebpa,Sox2,Kat2a,E2f1,Gata3,Tcf3,Jun,Klf4,Mecom,Maf,Zfp281,Runx2,Trp63,Zmiz1,Smad2
GO:0006357	Regulation of transcription by rna polymerase ii	50	1897	1.02	1.21e-42	10090.ENSMUSP00000000080,10090.ENSMUSP00000000450,10090.ENSMUSP00000003135,10090.ENSMUSP00000005279,10090.ENSMUSP00000005841,10090.ENSMUSP00000008542,10090.ENSMUSP00000009740,10090.ENSMUSP00000012540,10090.ENSMUSP00000015003,10090.ENSMUSP00000015197,10090.ENSMUSP00000020158,10090.ENSMUSP00000023673,10090.ENSMUSP00000025867,10090.ENSMUSP00000027941,10090.ENSMUSP00000030391,10090.ENSMUSP00000034707,10090.ENSMUSP00000034973,10090.ENSMUSP00000035020,10090.ENSMUSP00000038229,10090.ENSMUSP00000041118,10090.ENSMUSP00000041774,10090.ENSMUSP00000048838,10090.ENSMUSP00000053178,10090.ENSMUSP00000062576,10090.ENSMUSP00000064366,10090.ENSMUSP00000066256,10090.ENSMUSP00000066789,10090.ENSMUSP00000068974,10090.ENSMUSP00000069616,10090.ENSMUSP00000069850,10090.ENSMUSP00000072617,10090.ENSMUSP00000074656,10090.ENSMUSP00000088717,10090.ENSMUSP00000092901,10090.ENSMUSP00000096129,10090.ENSMUSP00000096755,10090.ENSMUSP00000099407,10090.ENSMUSP00000099434,10090.ENSMUSP00000100041,10090.ENSMUSP00000100979,10090.ENSMUSP00000102711,10090.ENSMUSP00000103245,10090.ENSMUSP00000103905,10090.ENSMUSP00000104732,10090.ENSMUSP00000107677,10090.ENSMUSP00000109202,10090.ENSMUSP00000110965,10090.ENSMUSP00000115237,10090.ENSMUSP00000124863,10090.ENSMUSP00000130115	Klf6,Pparg,Elf3,Klf5,Ctcf,Elk3,Taf7l,Nanog,E2f4,Gata2,Myb,Runx1,Rela,Atf3,Tfap2c,Smarca4,Smad3,Eomes,Kdm2b,Foxa1,Gata6,Rarg,Tcf21,Nucks1,Klf1,Ercc6,Ep300,Ncor1,Egr1,Cebpb,Hsf1,Clock,Sry,Jund,Cebpa,Sox2,Kat2a,E2f1,Gata3,Tcf3,Jun,Klf4,Mecom,Maf,Zfp281,Runx2,Trp63,Sox3,Zmiz1,Smad2
GO:1903508	Positive regulation of nucleic acid-templated transcription	48	1602	1.07	1.43e-42	10090.ENSMUSP00000000080,10090.ENSMUSP00000000450,10090.ENSMUSP00000003135,10090.ENSMUSP00000005279,10090.ENSMUSP00000005841,10090.ENSMUSP00000008542,10090.ENSMUSP00000009740,10090.ENSMUSP00000012540,10090.ENSMUSP00000015003,10090.ENSMUSP00000015197,10090.ENSMUSP00000020158,10090.ENSMUSP00000023673,10090.ENSMUSP00000025867,10090.ENSMUSP00000027941,10090.ENSMUSP00000030391,10090.ENSMUSP00000034707,10090.ENSMUSP00000034973,10090.ENSMUSP00000035020,10090.ENSMUSP00000041118,10090.ENSMUSP00000041774,10090.ENSMUSP00000048838,10090.ENSMUSP00000053178,10090.ENSMUSP00000062576,10090.ENSMUSP00000064366,10090.ENSMUSP00000066256,10090.ENSMUSP00000066789,10090.ENSMUSP00000069616,10090.ENSMUSP00000069850,10090.ENSMUSP00000072617,10090.ENSMUSP00000074656,10090.ENSMUSP00000088717,10090.ENSMUSP00000092901,10090.ENSMUSP00000096129,10090.ENSMUSP00000096755,10090.ENSMUSP00000099407,10090.ENSMUSP00000099434,10090.ENSMUSP00000100041,10090.ENSMUSP00000100979,10090.ENSMUSP00000102711,10090.ENSMUSP00000103245,10090.ENSMUSP00000103905,10090.ENSMUSP00000104732,10090.ENSMUSP00000107677,10090.ENSMUSP00000109202,10090.ENSMUSP00000110965,10090.ENSMUSP00000124317,10090.ENSMUSP00000124863,10090.ENSMUSP00000130115	Klf6,Pparg,Elf3,Klf5,Ctcf,Elk3,Taf7l,Nanog,E2f4,Gata2,Myb,Runx1,Rela,Atf3,Tfap2c,Smarca4,Smad3,Eomes,Foxa1,Gata6,Rarg,Tcf21,Nucks1,Klf1,Ercc6,Ep300,Egr1,Cebpb,Hsf1,Clock,Sry,Jund,Cebpa,Sox2,Kat2a,E2f1,Gata3,Tcf3,Jun,Klf4,Mecom,Maf,Zfp281,Runx2,Trp63,Tbp,Zmiz1,Smad2
GO:0045893	Positive regulation of transcription, dna-templated	47	1541	1.08	9.69e-42	10090.ENSMUSP00000000080,10090.ENSMUSP00000000450,10090.ENSMUSP00000003135,10090.ENSMUSP00000005279,10090.ENSMUSP00000005841,10090.ENSMUSP00000008542,10090.ENSMUSP00000012540,10090.ENSMUSP00000015003,10090.ENSMUSP00000015197,10090.ENSMUSP00000020158,10090.ENSMUSP00000023673,10090.ENSMUSP00000025867,10090.ENSMUSP00000027941,10090.ENSMUSP00000030391,10090.ENSMUSP00000034707,10090.ENSMUSP00000034973,10090.ENSMUSP00000035020,10090.ENSMUSP00000041118,10090.ENSMUSP00000041774,10090.ENSMUSP00000048838,10090.ENSMUSP00000053178,10090.ENSMUSP00000062576,10090.ENSMUSP00000064366,10090.ENSMUSP00000066256,10090.ENSMUSP00000066789,10090.ENSMUSP00000069616,10090.ENSMUSP00000069850,10090.ENSMUSP00000072617,10090.ENSMUSP00000074656,10090.ENSMUSP00000088717,10090.ENSMUSP00000092901,10090.ENSMUSP00000096129,10090.ENSMUSP00000096755,10090.ENSMUSP00000099407,10090.ENSMUSP00000099434,10090.ENSMUSP00000100041,10090.ENSMUSP00000100979,10090.ENSMUSP00000102711,10090.ENSMUSP00000103245,10090.ENSMUSP00000103905,10090.ENSMUSP00000104732,10090.ENSMUSP00000107677,10090.ENSMUSP00000109202,10090.ENSMUSP00000110965,10090.ENSMUSP00000124317,10090.ENSMUSP00000124863,10090.ENSMUSP00000130115	Klf6,Pparg,Elf3,Klf5,Ctcf,Elk3,Nanog,E2f4,Gata2,Myb,Runx1,Rela,Atf3,Tfap2c,Smarca4,Smad3,Eomes,Foxa1,Gata6,Rarg,Tcf21,Nucks1,Klf1,Ercc6,Ep300,Egr1,Cebpb,Hsf1,Clock,Sry,Jund,Cebpa,Sox2,Kat2a,E2f1,Gata3,Tcf3,Jun,Klf4,Mecom,Maf,Zfp281,Runx2,Trp63,Tbp,Zmiz1,Smad2
GO:1903507	Negative regulation of nucleic acid-templated transcription	43	1215	1.14	1.98e-39	10090.ENSMUSP00000000450,10090.ENSMUSP00000003135,10090.ENSMUSP00000005279,10090.ENSMUSP00000005841,10090.ENSMUSP00000008542,10090.ENSMUSP00000012540,10090.ENSMUSP00000015003,10090.ENSMUSP00000015197,10090.ENSMUSP00000020158,10090.ENSMUSP00000023673,10090.ENSMUSP00000025867,10090.ENSMUSP00000027941,10090.ENSMUSP00000030391,10090.ENSMUSP00000034707,10090.ENSMUSP00000034973,10090.ENSMUSP00000035020,10090.ENSMUSP00000038229,10090.ENSMUSP00000041118,10090.ENSMUSP00000041774,10090.ENSMUSP00000048838,10090.ENSMUSP00000053178,10090.ENSMUSP00000066789,10090.ENSMUSP00000068974,10090.ENSMUSP00000069616,10090.ENSMUSP00000069850,10090.ENSMUSP00000072617,10090.ENSMUSP00000074656,10090.ENSMUSP00000088717,10090.ENSMUSP00000092901,10090.ENSMUSP00000096129,10090.ENSMUSP00000096755,10090.ENSMUSP00000099434,10090.ENSMUSP00000100041,10090.ENSMUSP00000100979,10090.ENSMUSP00000102711,10090.ENSMUSP00000103245,10090.ENSMUSP00000103905,10090.ENSMUSP00000104732,10090.ENSMUSP00000107677,10090.ENSMUSP00000109202,10090.ENSMUSP00000110965,10090.ENSMUSP00000115237,10090.ENSMUSP00000130115	Pparg,Elf3,Klf5,Ctcf,Elk3,Nanog,E2f4,Gata2,Myb,Runx1,Rela,Atf3,Tfap2c,Smarca4,Smad3,Eomes,Kdm2b,Foxa1,Gata6,Rarg,Tcf21,Ep300,Ncor1,Egr1,Cebpb,Hsf1,Clock,Sry,Jund,Cebpa,Sox2,E2f1,Gata3,Tcf3,Jun,Klf4,Mecom,Maf,Zfp281,Runx2,Trp63,Sox3,Smad2
GO:0045934	Negative regulation of nucleobase-containing compound metabolic process	44	1415	1.09	1.59e-38	10090.ENSMUSP00000000450,10090.ENSMUSP00000003135,10090.ENSMUSP00000005279,10090.ENSMUSP00000005841,10090.ENSMUSP00000008542,10090.ENSMUSP00000012540,10090.ENSMUSP00000015003,10090.ENSMUSP00000015197,10090.ENSMUSP00000020158,10090.ENSMUSP00000023673,10090.ENSMUSP00000025867,10090.ENSMUSP00000027941,10090.ENSMUSP00000030391,10090.ENSMUSP00000034707,10090.ENSMUSP00000034973,10090.ENSMUSP00000035020,10090.ENSMUSP00000038229,10090.ENSMUSP00000041118,10090.ENSMUSP00000041774,10090.ENSMUSP00000048838,10090.ENSMUSP00000053178,10090.ENSMUSP00000066256,10090.ENSMUSP00000066789,10090.ENSMUSP00000068974,10090.ENSMUSP00000069616,10090.ENSMUSP00000069850,10090.ENSMUSP00000072617,10090.ENSMUSP00000074656,10090.ENSMUSP00000088717,10090.ENSMUSP00000092901,10090.ENSMUSP00000096129,10090.ENSMUSP00000096755,10090.ENSMUSP00000099434,10090.ENSMUSP00000100041,10090.ENSMUSP00000100979,10090.ENSMUSP00000102711,10090.ENSMUSP00000103245,10090.ENSMUSP00000103905,10090.ENSMUSP00000104732,10090.ENSMUSP00000107677,10090.ENSMUSP00000109202,10090.ENSMUSP00000110965,10090.ENSMUSP00000115237,10090.ENSMUSP00000130115	Pparg,Elf3,Klf5,Ctcf,Elk3,Nanog,E2f4,Gata2,Myb,Runx1,Rela,Atf3,Tfap2c,Smarca4,Smad3,Eomes,Kdm2b,Foxa1,Gata6,Rarg,Tcf21,Ercc6,Ep300,Ncor1,Egr1,Cebpb,Hsf1,Clock,Sry,Jund,Cebpa,Sox2,E2f1,Gata3,Tcf3,Jun,Klf4,Mecom,Maf,Zfp281,Runx2,Trp63,Sox3,Smad2
GO:0045892	Negative regulation of transcription, dna-templated	42	1181	1.15	2.06e-38	10090.ENSMUSP00000000450,10090.ENSMUSP00000003135,10090.ENSMUSP00000005279,10090.ENSMUSP00000005841,10090.ENSMUSP00000008542,10090.ENSMUSP00000012540,10090.ENSMUSP00000015003,10090.ENSMUSP00000015197,10090.ENSMUSP00000020158,10090.ENSMUSP00000023673,10090.ENSMUSP00000025867,10090.ENSMUSP00000027941,10090.ENSMUSP00000030391,10090.ENSMUSP00000034707,10090.ENSMUSP00000034973,10090.ENSMUSP00000035020,10090.ENSMUSP00000038229,10090.ENSMUSP00000041118,10090.ENSMUSP00000041774,10090.ENSMUSP00000048838,10090.ENSMUSP00000053178,10090.ENSMUSP00000066789,10090.ENSMUSP00000068974,10090.ENSMUSP00000069616,10090.ENSMUSP00000069850,10090.ENSMUSP00000072617,10090.ENSMUSP00000074656,10090.ENSMUSP00000088717,10090.ENSMUSP00000092901,10090.ENSMUSP00000096129,10090.ENSMUSP00000096755,10090.ENSMUSP00000099434,10090.ENSMUSP00000100041,10090.ENSMUSP00000100979,10090.ENSMUSP00000102711,10090.ENSMUSP00000103245,10090.ENSMUSP00000103905,10090.ENSMUSP00000104732,10090.ENSMUSP00000107677,10090.ENSMUSP00000109202,10090.ENSMUSP00000110965,10090.ENSMUSP00000130115	Pparg,Elf3,Klf5,Ctcf,Elk3,Nanog,E2f4,Gata2,Myb,Runx1,Rela,Atf3,Tfap2c,Smarca4,Smad3,Eomes,Kdm2b,Foxa1,Gata6,Rarg,Tcf21,Ep300,Ncor1,Egr1,Cebpb,Hsf1,Clock,Sry,Jund,Cebpa,Sox2,E2f1,Gata3,Tcf3,Jun,Klf4,Mecom,Maf,Zfp281,Runx2,Trp63,Smad2
GO:0010628	Positive regulation of gene expression	49	2269	0.93	5.77e-38	10090.ENSMUSP00000000080,10090.ENSMUSP00000000450,10090.ENSMUSP00000003135,10090.ENSMUSP00000005279,10090.ENSMUSP00000005841,10090.ENSMUSP00000008542,10090.ENSMUSP00000012540,10090.ENSMUSP00000015003,10090.ENSMUSP00000015197,10090.ENSMUSP00000020158,10090.ENSMUSP00000023673,10090.ENSMUSP00000025867,10090.ENSMUSP00000027941,10090.ENSMUSP00000030391,10090.ENSMUSP00000034707,10090.ENSMUSP00000034973,10090.ENSMUSP00000035020,10090.ENSMUSP00000041118,10090.ENSMUSP00000041774,10090.ENSMUSP00000048838,10090.ENSMUSP00000053178,10090.ENSMUSP00000061539,10090.ENSMUSP00000062576,10090.ENSMUSP00000064366,10090.ENSMUSP00000066256,10090.ENSMUSP00000066789,10090.ENSMUSP00000068974,10090.ENSMUSP00000069616,10090.ENSMUSP00000069850,10090.ENSMUSP00000072617,10090.ENSMUSP00000074656,10090.ENSMUSP00000088717,10090.ENSMUSP00000092901,10090.ENSMUSP00000096129,10090.ENSMUSP00000096755,10090.ENSMUSP00000099407,10090.ENSMUSP00000099434,10090.ENSMUSP00000100041,10090.ENSMUSP00000100979,10090.ENSMUSP00000102711,10090.ENSMUSP00000103245,10090.ENSMUSP00000103905,10090.ENSMUSP00000104732,10090.ENSMUSP00000107677,10090.ENSMUSP00000109202,10090.ENSMUSP00000110965,10090.ENSMUSP00000124317,10090.ENSMUSP00000124863,10090.ENSMUSP00000130115	Klf6,Pparg,Elf3,Klf5,Ctcf,Elk3,Nanog,E2f4,Gata2,Myb,Runx1,Rela,Atf3,Tfap2c,Smarca4,Smad3,Eomes,Foxa1,Gata6,Rarg,Tcf21,Kdm6a,Nucks1,Klf1,Ercc6,Ep300,Ncor1,Egr1,Cebpb,Hsf1,Clock,Sry,Jund,Cebpa,Sox2,Kat2a,E2f1,Gata3,Tcf3,Jun,Klf4,Mecom,Maf,Zfp281,Runx2,Trp63,Tbp,Zmiz1,Smad2
GO:0006355	Regulation of transcription, dna-templated	51	2720	0.87	1.03e-37	10090.ENSMUSP00000000080,10090.ENSMUSP00000000450,10090.ENSMUSP00000003135,10090.ENSMUSP00000005279,10090.ENSMUSP00000005841,10090.ENSMUSP00000008542,10090.ENSMUSP00000009740,10090.ENSMUSP00000012540,10090.ENSMUSP00000015003,10090.ENSMUSP00000015197,10090.ENSMUSP00000020158,10090.ENSMUSP00000023673,10090.ENSMUSP00000025867,10090.ENSMUSP00000027941,10090.ENSMUSP00000030391,10090.ENSMUSP00000034707,10090.ENSMUSP00000034973,10090.ENSMUSP00000035020,10090.ENSMUSP00000038229,10090.ENSMUSP00000041118,10090.ENSMUSP00000041774,10090.ENSMUSP00000048838,10090.ENSMUSP00000053178,10090.ENSMUSP00000062576,10090.ENSMUSP00000064366,10090.ENSMUSP00000066256,10090.ENSMUSP00000066789,10090.ENSMUSP00000068974,10090.ENSMUSP00000069616,10090.ENSMUSP00000069850,10090.ENSMUSP00000072617,10090.ENSMUSP00000074656,10090.ENSMUSP00000088717,10090.ENSMUSP00000092901,10090.ENSMUSP00000096129,10090.ENSMUSP00000096755,10090.ENSMUSP00000099407,10090.ENSMUSP00000099434,10090.ENSMUSP00000100041,10090.ENSMUSP00000100979,10090.ENSMUSP00000102711,10090.ENSMUSP00000103245,10090.ENSMUSP00000103905,10090.ENSMUSP00000104732,10090.ENSMUSP00000107677,10090.ENSMUSP00000109202,10090.ENSMUSP00000110965,10090.ENSMUSP00000115237,10090.ENSMUSP00000124317,10090.ENSMUSP00000124863,10090.ENSMUSP00000130115	Klf6,Pparg,Elf3,Klf5,Ctcf,Elk3,Taf7l,Nanog,E2f4,Gata2,Myb,Runx1,Rela,Atf3,Tfap2c,Smarca4,Smad3,Eomes,Kdm2b,Foxa1,Gata6,Rarg,Tcf21,Nucks1,Klf1,Ercc6,Ep300,Ncor1,Egr1,Cebpb,Hsf1,Clock,Sry,Jund,Cebpa,Sox2,Kat2a,E2f1,Gata3,Tcf3,Jun,Klf4,Mecom,Maf,Zfp281,Runx2,Trp63,Sox3,Tbp,Zmiz1,Smad2
GO:0000122	Negative regulation of transcription by rna polymerase ii	37	881	1.22	3.86e-35	10090.ENSMUSP00000000450,10090.ENSMUSP00000005279,10090.ENSMUSP00000005841,10090.ENSMUSP00000008542,10090.ENSMUSP00000012540,10090.ENSMUSP00000015003,10090.ENSMUSP00000015197,10090.ENSMUSP00000020158,10090.ENSMUSP00000023673,10090.ENSMUSP00000025867,10090.ENSMUSP00000027941,10090.ENSMUSP00000030391,10090.ENSMUSP00000034707,10090.ENSMUSP00000034973,10090.ENSMUSP00000035020,10090.ENSMUSP00000038229,10090.ENSMUSP00000041118,10090.ENSMUSP00000041774,10090.ENSMUSP00000048838,10090.ENSMUSP00000053178,10090.ENSMUSP00000066789,10090.ENSMUSP00000068974,10090.ENSMUSP00000069616,10090.ENSMUSP00000069850,10090.ENSMUSP00000072617,10090.ENSMUSP00000088717,10090.ENSMUSP00000092901,10090.ENSMUSP00000096129,10090.ENSMUSP00000096755,10090.ENSMUSP00000099434,10090.ENSMUSP00000100041,10090.ENSMUSP00000100979,10090.ENSMUSP00000102711,10090.ENSMUSP00000103245,10090.ENSMUSP00000104732,10090.ENSMUSP00000107677,10090.ENSMUSP00000110965	Pparg,Klf5,Ctcf,Elk3,Nanog,E2f4,Gata2,Myb,Runx1,Rela,Atf3,Tfap2c,Smarca4,Smad3,Eomes,Kdm2b,Foxa1,Gata6,Rarg,Tcf21,Ep300,Ncor1,Egr1,Cebpb,Hsf1,Sry,Jund,Cebpa,Sox2,E2f1,Gata3,Tcf3,Jun,Klf4,Maf,Zfp281,Trp63
