#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Atf2	Gata2	10090.ENSMUSP00000107641	10090.ENSMUSP00000015197	0	0.085	0.378	0.074	0.426
Atf2	Brca1	10090.ENSMUSP00000107641	10090.ENSMUSP00000017290	0	0.454	0.634	0	0.791
Atf2	Pou5f1	10090.ENSMUSP00000107641	10090.ENSMUSP00000025271	0	0.443	0.188	0	0.528
Atf2	Rela	10090.ENSMUSP00000107641	10090.ENSMUSP00000025867	0	0.139	0.588	0.245	0.708
Atf2	Atf3	10090.ENSMUSP00000107641	10090.ENSMUSP00000027941	0	0.473	0	0	0.473
Atf2	Smarca4	10090.ENSMUSP00000107641	10090.ENSMUSP00000034707	0	0.090	0.588	0.126	0.643
Atf2	Smad3	10090.ENSMUSP00000107641	10090.ENSMUSP00000034973	0	0.132	0.634	0.395	0.791
Atf2	Kdm6a	10090.ENSMUSP00000107641	10090.ENSMUSP00000061539	0	0.157	0	0.394	0.467
Atf2	Ep300	10090.ENSMUSP00000107641	10090.ENSMUSP00000066789	0	0.463	0.634	0.405	0.873
Atf2	Egr1	10090.ENSMUSP00000107641	10090.ENSMUSP00000069616	0	0.443	0.130	0	0.494
Atf2	Cebpb	10090.ENSMUSP00000107641	10090.ENSMUSP00000069850	0	0.209	0.244	0.267	0.523
Atf2	Jund	10090.ENSMUSP00000107641	10090.ENSMUSP00000092901	0	0.481	0.634	0.206	0.836
Atf2	Cebpa	10090.ENSMUSP00000107641	10090.ENSMUSP00000096129	0	0.219	0.244	0.204	0.488
Atf2	Kat2a	10090.ENSMUSP00000107641	10090.ENSMUSP00000099407	0	0.046	0.478	0	0.480
Atf2	Gata3	10090.ENSMUSP00000107641	10090.ENSMUSP00000100041	0	0.085	0.378	0.113	0.451
Atf2	Jun	10090.ENSMUSP00000107641	10090.ENSMUSP00000102711	0	0.922	0.923	0.905	0.999
Atf2	Smad2	10090.ENSMUSP00000107641	10090.ENSMUSP00000130115	0	0.132	0.515	0.196	0.631
Atf3	Hdac2	10090.ENSMUSP00000027941	10090.ENSMUSP00000019911	0	0.505	0	0.395	0.688
Atf3	Hsf1	10090.ENSMUSP00000027941	10090.ENSMUSP00000072617	0	0.375	0	0.249	0.510
