input rank	input term	mapped gene	annotation
75	RUNX1	Runx1	Forms the heterodimeric complex core-binding factor (CBF) with CBFB. RUNX members modulate the transcription of their target genes through recognizing the core consensus binding sequence 5'- TGT [...]
74	TP63	Trp63	Transformation related protein 63; Tumor protein 63; Acts as a sequence specific DNA binding transcriptional activator or repressor. The isoforms contain a varying set of transactivation and aut [...]
73	ZFP281	Zfp281	Zinc finger protein 281; Transcription repressor that plays a role in regulation of embryonic stem cells (ESCs) differentiation. Required for ESCs differentiation and acts by mediating autorepre [...]
72	CTCF	Ctcf	Transcriptional repressor CTCF; Chromatin binding factor that binds to DNA sequence specific sites. Involved in transcriptional regulation by binding to chromatin insulators and preventing inter [...]
71	CEBPB	Cebpb	CCAAT/enhancer-binding protein beta; Important transcription factor regulating the expression of genes involved in immune and inflammatory responses. Plays also a significant role in adipogenesi [...]
70	CEBPB	Cebpb	CCAAT/enhancer-binding protein beta; Important transcription factor regulating the expression of genes involved in immune and inflammatory responses. Plays also a significant role in adipogenesi [...]
69	SA1	Stag1	Cohesin subunit SA-1; Component of cohesin complex, a complex required for the cohesion of sister chromatids after DNA replication. The cohesin complex apparently forms a large proteinaceous rin [...]
68	ELF3	Elf3	ETS-related transcription factor Elf-3; Transcriptional activator that binds and transactivates ETS sequences containing the consensus nucleotide core sequence GGA[AT]. Acts synergistically with [...]
67	SOX3	Sox3	Transcription factor sox1/3/14/21 (sox group b); Transcription factor SOX-3; Transcription factor required during the formation of the hypothalamo-pituitary axis. May function as a switch in neu [...]
66	GATA6	Gata6	Transcription factor GATA-6; Transcriptional activator that regulates SEMA3C and PLXNA2. May regulate genes that protect epithelial cells from bacterial infection (By similarity). Involved in ge [...]
65	CTCF	Ctcf	Transcriptional repressor CTCF; Chromatin binding factor that binds to DNA sequence specific sites. Involved in transcriptional regulation by binding to chromatin insulators and preventing inter [...]
64	SOX2	Sox2	Transcription factor sox2 (sox group b); Transcription factor that forms a trimeric complex with POU5F1 (OCT3/4) on DNA and controls the expression of a number of genes involved in embryonic dev [...]
63	MECOM	Mecom	MDS1 and EVI1 complex locus protein EVI1; Functions as a transcriptional regulator binding to DNA sequences in the promoter region of target genes and regulating positively or negatively their e [...]
